"id","username","name","lastname","pass","email","colegiate","validation","role","phone","psychologist","createdAt","updatedAt"
1,"admin_user","Admin","Admin","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","admin@example.com",NULL,true,"admin",123456789,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
2,"psychologist1","Psychologist","1","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist1@example.com","123456","true","psychologist",123456780,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
3,"psychologist2","Psychologist","2","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist2@example.com","123457","true","psychologist",123456781,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
4,"psychologist3","Psychologist","3","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist3@example.com","123458","true","psychologist",123456782,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
5,"psychologist4","Psychologist","4","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist4@example.com","123459","true","psychologist",123456783,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
6,"psychologist5","Psychologist","5","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist5@example.com","123460","true","psychologist",123456784,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
7,"psychologist6","Psychologist","6","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist6@example.com","123461","true","psychologist",123456785,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
8,"psychologist7","Psychologist","7","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist7@example.com","123462","true","psychologist",123456786,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
9,"psychologist8","Psychologist","8","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist8@example.com","123463","true","psychologist",123456787,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
10,"psychologist9","Psychologist","9","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","psychologist9@example.com","123464","true","psychologist",123456788,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
